topic,country,last_value,avg_12m,trend_pct,direction
appeal_of_leadership_change,AS,0.0,0.0,0.0,stable
appeal_of_leadership_change,IN,4.044259172403483e-06,2.1360791565320336e-06,-0.0019081800158714498,stable
appeal_of_leadership_change,IR,1.0503353456900482e-06,2.029094183998491e-06,0.0009787588383084426,stable
appeal_of_leadership_change,NI,4.716032586653288e-07,4.284031518584151e-07,-4.320010680691369e-05,stable
appeal_of_leadership_change,UK,0.0,0.0,0.0,stable
appeal_of_leadership_change,US,2.714466778158441e-07,6.96290813198063e-07,0.0004248441353822189,stable
authoritarianism,AF,0.0,0.0,0.0,stable
authoritarianism,AS,0.0004758041547330301,0.000851511997575373,0.3757078428423429,stable
authoritarianism,BE,0.00018450724849900004,0.0010230476850200743,0.8385404365210742,stable
authoritarianism,BR,0.0,0.0,0.0,stable
authoritarianism,CA,0.0005060708324797101,0.0,-0.5060708324797101,stable
authoritarianism,CH,0.0002925961659342476,1.1886256542393472e-05,-0.28070990939185414,stable
authoritarianism,DA,0.0,0.00026474943857129825,0.26474943857129823,stable
authoritarianism,EG,0.00025385824233385007,6.099254323118668e-07,-0.2532483169015382,stable
authoritarianism,ET,0.0,0.0,0.0,stable
authoritarianism,FR,8.351626092670002e-05,0.000450851381576141,0.36733512064944096,stable
authoritarianism,GH,0.0008453550819858902,0.00018335676873899835,-0.6619983132468918,stable
authoritarianism,GM,0.0,0.0,0.0,stable
authoritarianism,GR,0.0006436872390837701,0.0,-0.6436872390837701,stable
authoritarianism,GZ,0.0,0.0,0.0,stable
authoritarianism,HK,0.0,1.564993120759285e-05,0.015649931207592848,stable
authoritarianism,ID,0.00022196748586964006,0.0004045512419402577,0.18258375607061764,stable
authoritarianism,IN,0.0002069461710684722,0.00025494779262369476,0.048001621555222564,stable
authoritarianism,IR,8.639705327239861e-05,5.32012191519786e-05,-0.03319583412042001,stable
authoritarianism,IS,0.00023940493438497003,0.0,-0.23940493438497001,stable
authoritarianism,IT,0.0,9.76797005241832e-06,0.00976797005241832,stable
authoritarianism,IZ,0.0004901241177621601,0.00018217021960913087,-0.3079538981530293,stable
authoritarianism,JA,0.0,0.0,0.0,stable
authoritarianism,JO,0.0,0.0,0.0,stable
authoritarianism,KE,0.0,0.0,0.0,stable
authoritarianism,KN,0.0,0.0,0.0,stable
authoritarianism,KS,0.0007275847516303802,5.627565479317242e-05,-0.6713090968372077,stable
authoritarianism,LE,0.0,0.0,0.0,stable
authoritarianism,MX,2.3470866931202716e-05,0.0006108631109909362,0.5873922440597334,stable
authoritarianism,MY,0.0,0.0002541463802641516,0.2541463802641516,stable
authoritarianism,NG,0.006648791790797732,0.005686759751299034,-0.9620320394986984,stable
authoritarianism,NI,0.00037235722474759003,0.0005022829945929415,0.12992576984535145,stable
authoritarianism,NL,0.0,0.0010597208990684459,1.059720899068446,stable
authoritarianism,PK,8.583574036730003e-05,1.2986516786513565e-06,-0.08453708868864866,stable
authoritarianism,PO,0.0,0.0,0.0,stable
authoritarianism,QA,0.0,0.00018289054008658784,0.18289054008658784,stable
authoritarianism,RP,0.0008637652524967902,0.00048176441283506255,-0.3820008396617277,stable
authoritarianism,RS,0.0009278871460402002,0.0005331772483915556,-0.3947098976486445,stable
authoritarianism,SA,0.0,0.00010024414871337714,0.10024414871337714,stable
authoritarianism,SF,0.0,1.2103151601774261e-05,0.012103151601774262,stable
authoritarianism,SO,0.0,0.0,0.0,stable
authoritarianism,SP,0.00022611327408565007,0.0008417407324787064,0.6156274583930562,stable
authoritarianism,SW,0.006879473735609832,0.006250891228526983,-0.6285825070828496,stable
authoritarianism,SY,0.0,1.074832212011645e-05,0.01074832212011645,stable
authoritarianism,SZ,0.0,1.7596305580274524e-08,1.7596305580274523e-05,stable
authoritarianism,TU,0.00014555231495126002,0.0,-0.14555231495126003,stable
authoritarianism,UK,0.0036183675266451007,0.001425693205114347,-2.192674321530754,stable
authoritarianism,UP,0.00025849656835410004,0.00015262537919420935,-0.10587118915989069,stable
authoritarianism,US,0.00041150102845938,0.0003260575711264602,-0.08544345733291984,stable
confiscate_property,AE,0.0009431882942523503,0.00020077975879475297,-0.7424085354575973,stable
confiscate_property,AF,0.0004240437719529901,8.401338048344926e-05,-0.3400303914695409,stable
confiscate_property,AM,0.0,0.0,0.0,stable
confiscate_property,AR,0.0,0.0041554161680412965,4.155416168041296,stable
confiscate_property,AS,0.001691817201778,0.004994910082416165,3.303092880638165,stable
confiscate_property,BE,0.0,0.0,0.0,stable
confiscate_property,BR,0.0025520336335749507,0.0014593572585344002,-1.0926763750405506,stable
confiscate_property,CA,0.00142006404319285,0.000539230773370535,-0.8808332698223151,stable
confiscate_property,CH,0.0013063766594015901,0.000479123929075059,-0.827252730326531,stable
confiscate_property,CO,0.012946429066996112,0.008296908812518745,-4.649520254477367,stable
confiscate_property,DA,0.0,0.000675060517969078,0.675060517969078,stable
confiscate_property,EG,0.005578630237442211,0.0016272662676319273,-3.9513639698102834,stable
confiscate_property,ET,0.006725481241879752,0.004331535557328843,-2.393945684550909,stable
confiscate_property,FR,0.0006534142289918001,0.0008250174687405997,0.17160323974879957,stable
confiscate_property,GH,0.0017734271705596603,0.0011206716862315746,-0.6527554843280857,stable
confiscate_property,GM,0.0003722003487372101,0.0003442239563279734,-0.027976392409236703,stable
confiscate_property,GR,0.00221969972002569,0.0014255508309929485,-0.7941488890327414,stable
confiscate_property,GZ,0.05646236900603364,0.03231524902280448,-24.14711998322916,falling
confiscate_property,HK,0.011809758410975693,0.0063283717968572,-5.481386614118492,falling
confiscate_property,IC,0.0,0.0006739115818106094,0.6739115818106094,stable
confiscate_property,ID,0.0026974279841235605,0.0006335991382395205,-2.06382884588404,stable
confiscate_property,IN,0.0018968748115918799,0.0008062089878734559,-1.090665823718424,stable
confiscate_property,IR,0.00106576443224723,0.0004883524232039337,-0.5774120090432964,stable
confiscate_property,IS,0.00293849731502911,0.0019786122741468214,-0.9598850408822887,stable
confiscate_property,IT,0.0010838236831023202,0.0004149256446457249,-0.6688980384565953,stable
confiscate_property,IZ,0.00786950188753574,0.0030910790191942604,-4.77842286834148,stable
confiscate_property,JA,0.006831188505094831,0.00523553625271535,-1.5956522523794803,stable
confiscate_property,JM,0.0,0.0,0.0,stable
confiscate_property,JO,0.0,1.4801463135074653e-06,0.0014801463135074653,stable
confiscate_property,KE,0.008243993702923232,0.004580746771187367,-3.663246931735865,stable
confiscate_property,KG,0.003376359462720371,0.0,-3.376359462720371,stable
confiscate_property,KN,0.0010278993686025403,0.0009011187556270062,-0.1267806129755341,stable
confiscate_property,KS,0.0,0.0,0.0,stable
confiscate_property,KU,0.0037499726908518435,0.0013611394027723902,-2.388833288079453,stable
confiscate_property,KZ,0.0,0.0,0.0,stable
confiscate_property,LE,0.0049749501293099305,0.004252481317576609,-0.7224688117333216,stable
confiscate_property,MX,0.00251415497328362,5.979613462953298e-05,-2.4543588386540875,stable
confiscate_property,MY,0.0007650589939970601,0.0015778623216667906,0.8128033276697304,stable
confiscate_property,NG,0.0,0.0007551259617712981,0.755125961771298,stable
confiscate_property,NI,0.0019842721194470603,0.001763028011379327,-0.22124410806773337,stable
confiscate_property,NL,0.011067730052016894,0.005572672045138589,-5.495058006878304,falling
confiscate_property,NO,0.00031446911134947006,2.5637546829284408e-05,-0.28883156452018566,stable
confiscate_property,PK,0.00059698954267042,0.0,-0.59698954267042,stable
confiscate_property,PO,0.0,0.0,0.0,stable
confiscate_property,QA,0.0017025962437022006,0.000710813584995597,-0.9917826587066035,stable
confiscate_property,RP,0.004143653963512171,0.0033721724266288686,-0.7714815368833022,stable
confiscate_property,RQ,0.0,0.0,0.0,stable
confiscate_property,RS,0.02992956954469405,0.01531978335943091,-14.609786185263138,falling
confiscate_property,SA,0.0,0.00016182778595154654,0.16182778595154654,stable
confiscate_property,SF,0.0015876475611703005,4.756026418270866e-05,-1.5400872969875918,stable
confiscate_property,SO,0.0,5.404277946319415e-05,0.054042779463194156,stable
confiscate_property,SP,0.0037938769590303407,0.002530508080202506,-1.2633688788278346,stable
confiscate_property,SW,0.03171728533555093,0.012925872528673594,-18.791412806877336,falling
confiscate_property,SY,0.0019367292563347903,0.0001925085263328858,-1.7442207300019046,stable
confiscate_property,SZ,0.0,0.0010823554189823563,1.0823554189823563,stable
confiscate_property,TU,0.0016066045552506404,0.002320975804248676,0.7143712489980358,stable
confiscate_property,UK,0.00052678258477366,1.9799609036660013e-05,-0.506982975737,stable
confiscate_property,UP,0.021890212262958925,0.010253282172502133,-11.636930090456792,falling
confiscate_property,US,0.00222012469532423,0.00147825176440362,-0.74187293092061,stable
confiscate_property,YM,0.0005124341065991002,0.0,-0.5124341065991002,stable
corruption,AF,0.00022094399241047005,0.0,-0.22094399241047005,stable
corruption,AM,0.0,8.028432753868332e-05,0.08028432753868331,stable
corruption,AS,1.0898782909180692e-05,4.241836149983753e-06,-0.006656946759196938,stable
corruption,BE,0.0,0.0,0.0,stable
corruption,BR,0.0,1.1356288752520027e-06,0.0011356288752520025,stable
corruption,CA,9.195920014263063e-06,0.00013923191292053078,0.13003599290626772,stable
corruption,CH,0.00019707727399850003,3.9936580824191557e-07,-0.19667790819025807,stable
corruption,CO,0.0,0.00017440853161459425,0.17440853161459424,stable
corruption,EG,0.0,0.0,0.0,stable
corruption,FR,3.830269167342885e-05,3.428360382178432e-06,-0.034874331291250414,stable
corruption,GM,0.00011354563610103003,0.0,-0.11354563610103002,stable
corruption,GR,0.0,0.0,0.0,stable
corruption,ID,0.0007507984368772,0.0,-0.7507984368771999,stable
corruption,IN,0.00028315886518211,0.00014313613116227533,-0.1400227340198347,stable
corruption,IR,9.095217005074558e-06,4.829845842966376e-05,0.039203241424589204,stable
corruption,IS,9.492191168379447e-05,5.078076841167341e-05,-0.044141143272121056,stable
corruption,IT,0.0,0.0,0.0,stable
corruption,IZ,0.0,0.0,0.0,stable
corruption,JA,0.0,1.0965325121370987e-05,0.010965325121370986,stable
corruption,KE,0.0,0.0,0.0,stable
corruption,KS,0.0,0.0,0.0,stable
corruption,LE,2.8373419239932965e-06,1.7466091084452455e-05,0.014628749160459158,stable
corruption,MX,0.0,0.00010037993212470256,0.10037993212470256,stable
corruption,NI,0.0,0.0,0.0,stable
